text,intent
what did you say when I asked why it was slow,model_recall
what did you say when we talked about rag,model_recall
what explanation did you give when I asked that,model_recall
what did I say about prefix caching,recall
what did I tell you about the router,recall
what did you tell me about the router,model_recall
what did I say the acronym meant,recall
what did you say the acronym meant,model_recall
what was my explanation of the problem,recall
what was your explanation of the problem,model_recall
what did I mention about latency,recall
what did I recommend,recall
what did you recommend,model_recall
what did I suggest earlier,recall
what did you suggest earlier,model_recall
what example did I give you,recall
what numbers did I give you,recall
what numbers did you give me,model_recall
what did I tell you whisper does,recall
what did you tell me whisper does,model_recall
what did I say context was,recall
remind me what I said about memory,recall
remind me what you said about memory,model_recall
find what I told you about the pi,recall
find what you told me about the pi,model_recall
bring back what I said about caching,recall
bring back what you said about caching,model_recall
I forgot what I said about the router,recall
I forgot what you said about the router,model_recall
what was the thing I told you,recall
what did I call the classifier,recall
what did you call the classifier,model_recall
what was my point about rag,recall
what was your point about rag,model_recall
ask me what I bought at the store yesterday,directive
ask me what I bought yesterday,directive
ask me what I bought at the store,directive
ask me what I got at the store,directive
ask me what I picked up yesterday,directive
ask me what I ate for lunch,directive
ask me what I had for dinner,directive
ask me what my favorite food is,directive
ask me what my favorite color is,directive
ask me what my dog's name is,directive
ask me where I grew up,directive
ask me where I work,directive
ask me what I do for work,directive
ask me what computer I use,directive
ask me what operating system I use,directive
ask me which model I prefer,directive
ask me which option I chose,directive
ask me what setting worked best,directive
ask me what I did yesterday,directive
ask me what happened earlier,directive
ask me what I'm working on,directive
ask me what project I'm building,directive
ask me why I changed it,directive
ask me why I picked that option,directive
ask me when I bought it,directive
ask me where I bought it,directive
ask me how much it cost,directive
ask me who I talked to,directive
ask me which one I want,directive
ask me which one I liked better,directive
ask me a question about my project,directive
ask me a question about the pi,directive
ask me something about myself,directive
ask me something I can answer,directive
quiz me on what we just covered,directive
quiz me about tf idf,directive
quiz me on logistic regression,directive
give me a question about caching,directive
give me a question to answer,directive
prompt me to tell you what I bought,directive
have me tell you what I bought yesterday,directive
have me explain what happened,directive
have me answer a question about the project,directive
hey ask me what I bought yesterday,directive
hey ask me about the store,directive
hey ask me a question,directive
hey ask me what model I'm using,directive
hey can you ask me what I bought,directive
can you ask me what I bought yesterday,directive
can you ask me what I did today,directive
can you ask me about my project,directive
could you ask me what happened,directive
would you ask me what I bought,directive
I want you to ask me what I bought yesterday,directive
I want you to ask me a question,directive
ask me again what I bought,directive
ask me again about my project,directive
ask me that question again,directive
a watch,normal
I bought a watch,normal
a new watch,normal
some groceries,normal
milk and bread,normal
a pair of shoes,normal
three shirts,normal
a raspberry pi,normal
a new keyboard,normal
a microphone,normal
a usb adapter,normal
a book,normal
two books,normal
pizza,normal
tacos,normal
coffee,normal
blue,normal
green,normal
Finch,normal
Max,normal
Michigan,normal
Utah,normal
at the mall,normal
at walmart,normal
online,normal
yesterday,normal
last week,normal
this morning,normal
around three,normal
about fifty dollars,normal
one hundred bucks,normal
the second one,normal
the first option,normal
three threads,normal
because it was faster,normal
because it was cheaper,normal
because I liked it better,normal
because the old one broke,normal
I got it yesterday,normal
I bought it online,normal
I picked the second one,normal
I chose the faster option,normal
I use Nobara,normal
I'm using a raspberry pi five,normal
the llama model,normal
llama three point two,normal
I changed it this morning,normal
it started yesterday,normal
nothing else,normal
that's all I bought,normal
just a watch,normal
only some groceries,normal
probably the second one,normal
I don't remember,normal
I'm not sure,normal
I think it was Friday,normal
maybe forty dollars,normal
tell me about prefix caching,question
tell me what prefix caching is,question
tell me what you know about prefix caching,question
what do you know about prefix caching,question
what can you tell me about prefix caching,question
tell me about logistic regression,question
tell me what you know about logistic regression,question
what do you know about tf idf,question
what can you tell me about tf idf,question
tell me about raspberry pi,question
what do you know about raspberry pi,question
tell me about transformers,question
what do you know about transformers,question
tell me about sqlite,question
tell me about fts5,question
what do you know about rag,question
tell me about speech recognition,question
tell me about text to speech,question
what do you know about machine learning,question
tell me about intent classification,question
what did you say about prefix caching earlier,model_recall
what did I say about prefix caching earlier,recall
tell me what you previously said about prefix caching,model_recall
tell me what I previously said about prefix caching,recall
tell me everything you know about prefix caching,detailed
tell me everything you know about tf idf,detailed
tell me everything you know about logistic regression,detailed
tell me everything you know about transformers,detailed
tell me everything you know about rag,detailed
tell me everything you know about sqlite fts5,detailed
tell me everything you know about speech recognition,detailed
tell me everything you know about text to speech,detailed
tell me everything you know about raspberry pi,detailed
tell me everything you know about model caching,detailed
give me everything you know about prefix caching,detailed
give me everything you know about tf idf,detailed
give me the complete picture on logistic regression,detailed
give me the full story on prefix caching,detailed
I want everything you know about transformers,detailed
I want the full explanation of rag,detailed
I want all the information you have about tf idf,detailed
cover everything about prefix caching,detailed
cover the entire topic of logistic regression,detailed
teach me everything about intent classification,detailed
run the benchmark again and only show me the final numbers,directive
run the benchmark and only give me the numbers,directive
run it again and just show the result,directive
run the test again and only show the result,directive
repeat the benchmark and keep the output short,directive
run the benchmark but do not explain it,directive
execute the benchmark and return only the medians,directive
run the tests and only tell me which ones failed,directive
check the logs and only show the errors,directive
look it up and give me only the answer,directive
hey run the benchmark,directive
hey check the memory,directive
hey tell me what a tensor is,directive
hey explain tf idf,directive
hey play some music,directive
hey stop the music,directive
hey read the codes,directive
hey remember this for later,memory_store
hey what did I tell you earlier,recall
hey what did you say earlier,model_recall
hey how are you,greeting
hey what's up,greeting
hey good morning,greeting
can you explain tf idf,question
can you tell me about caching,question
do you know what tf idf is,question
what do you think about this approach,question
would you use logistic regression here,question
can you compare these approaches,directive
I agree with you,affirmative
I don't agree with you,negative
you are right,affirmative
you are wrong,negative
you explained that clearly,normal
you gave me a good example,normal
you mentioned caching just now,normal
you told me something interesting,normal
what did you say agian about caching,model_recall
what did you say agen about the model,model_recall
what did you sy about tf idf,model_recall
what did you tell me abot the router,model_recall
what were you saying abut memory,model_recall
remind me what you siad about caching,model_recall
what was youre explanation of tf idf,model_recall
what did you recomend earlier,model_recall
what did you explane about the cache,model_recall
bring back what you sed earlier,model_recall
what did I say agian about caching,recall
what did I tell you abot the router,recall
what was I saying abut memory,recall
remind me what I siad about caching,recall
what was my explanation of tf idf,recall
what did I recomend earlier,recall
bring back what I sed earlier,recall
hey what is up,greeting
hello friend,greeting
nice to hear you,greeting
good to see you,greeting
hey hey,greeting
yo there,greeting
hi again,greeting
morning there,greeting
evening there,greeting
ttyl,farewell
ttyl!,farewell
later man,farewell
bye for now,farewell
have a good night,farewell
have a good day,farewell
I am done for now,farewell
I gotta go,farewell
I am heading out,farewell
I will talk to you later,farewell
we can pick this up later,farewell
let's pick this up tomorrow,farewell
that is all for now,farewell
I am signing off,farewell
sure thing,affirmative
for sure,affirmative
that works for me,affirmative
that is right,affirmative
exactly right,affirmative
you got it,affirmative
I am good with that,affirmative
keep it that way,affirmative
use that one,affirmative
yes that is what I meant,affirmative
yeah that is exactly what I meant,affirmative
not yet,negative
nevermind,negative
I do not think so,negative
definitely not,negative
leave it alone,negative
not that one,negative
that is not right,negative
I would rather not,negative
I'd rather not,negative
no I do not want that,negative
no I don't want that,negative
not now,negative
hold off on that,negative
do not continue,negative
no leave it as is,negative
remember that I use Linux on my desktop,memory_store
do not forget that I keep the spare fuse in the glove box,memory_store
save this in memory: I parked on level four,memory_store
save that I changed the connector yesterday,memory_store
store this for later: I use PipeWire on the Pi,memory_store
store that my benchmark uses three threads,memory_store
make a note that I bought a blue backpack,memory_store
keep this in memory: my preferred editor is vim,memory_store
for the record I drive a Jeep Patriot,memory_store
just so you know my headset is the WT5,memory_store
actually it was Tuesday not Monday,memory_store
actually it was the power board not the USB controller,memory_store
actually I bought the blue backpack not the black one,memory_store
actually the problem was PipeWire not PulseAudio,memory_store
actually I used three threads not four,memory_store
actually the CPU was at 2.4 GHz not 2.6 GHz,memory_store
no it was Tuesday not Monday,memory_store
no it was the blue backpack not the black backpack,memory_store
no I bought the jeans yesterday not today,memory_store
no the spare key is in the desk not the drawer,memory_store
no my GPU is the RX 6600 not the RTX 3060,memory_store
wait it was the front sensor not the rear sensor,memory_store
wait I parked by the west elevator not the east one,memory_store
correction I use Kokoro not Piper,memory_store
correction the service runs on the Pi not the desktop,memory_store
I need to correct that: the meeting is Friday not Thursday,memory_store
I said that wrong: I bought it at Ocean Market not Walmart,memory_store
update that memory: my max clock is 2.4 GHz,memory_store
change what you remember: the cable is in the glove box,memory_store
remember this correction: I use Debian on the Pi,memory_store
please remember that the microphone is USB not Bluetooth,memory_store
please save that my current model is llama3.2:3b,memory_store
note for later: the warmup service starts before the demo,memory_store
remember that the line out volume was set to ninety five percent,memory_store
store this: the install worked on Debian 13.5,memory_store
save this: the NVMe drive is the boot drive,memory_store
do not forget that I reverted the overclock,memory_store
remember that I want routerMon to own routing,memory_store
what is my favorite band,recall
what vehicle do I have,recall
what do you know about me,recall
tell me what I told you about the Pi,recall
show me what you remember about the backpack,recall
show me what you remember about me,recall
can you remember what I said about the fuse,recall
what did I tell you about the microphone,recall
where did I say I parked,recall
what did I buy yesterday,recall
was it me or you who bought the backpack,recall
was it you or me who bought the backpack,recall
did I buy the backpack or did you,recall
did you buy the backpack or did I,recall
was it me or you who changed the fuse,recall
did I change the fuse or did you,recall
was it you or me who ran the benchmark,recall
did you run the benchmark or did I,recall
hey what did I tell you about the router,recall
hello what do you remember about my GPU,recall
good morning what did I say about the overclock,recall
what did you say earlier about the benchmark,model_recall
what was your last answer,model_recall
remind me what you said about the memory problem,model_recall
what did you recommend about the thread count,model_recall
what explanation did you give me about TF IDF,model_recall
what did you tell me to change in the config,model_recall
what were you saying about logistic regression,model_recall
hey what did you say earlier about the cache,model_recall
hello what did you tell me about the router,model_recall
good morning what was your explanation of FTS5,model_recall
can you repeat what you said about the service,model_recall
what was that answer you gave me,model_recall
how does FTS5 work,question
why does prompt length affect latency,question
how many bytes are in a kilobyte,question
what does a tensor mean,question
what is the difference between a list and a tuple,question
why does Python use None instead of null,question
how does set union work,question
hello what is TF IDF,question
hi what is logistic regression,question
hey how does FTS5 rank results,question
good morning what is prefix caching,question
hello why does the model need a context window,question
hi what is the difference between recall and model recall,question
hey what does this error code mean,question
what happens when a hash table has a collision,question
run the benchmark again,directive
show me the failed tests,directive
open the log file,directive
check the current configuration,directive
compare these two runs,directive
ask me about the backpack,directive
only give me the final numbers,directive
rerun the tests and list the failures,directive
hello restart the service,directive
hi run the benchmark again,directive
hey check the logs and summarize the failures,directive
good morning run the unit tests,directive
never mind the old result rerun the benchmark,directive
okay run it again with three threads,directive
sure go ahead and restart the service,directive
please compare the two output files,directive
tell me the three biggest differences,directive
read the last ten lines of the log,directive
what do you mean by that,clarify
what did you mean by that,clarify
I do not understand what you mean,clarify
I don't understand what you mean,clarify
I do not understand that last explanation,clarify
I don't understand that last explanation,clarify
which file are you talking about,clarify
what does that part mean,clarify
can you clarify that,clarify
clarify what you just said,clarify
say that another way,clarify
I am confused by that,clarify
I'm confused by that,clarify
when you said cache what exactly did you mean,clarify
when you said reset were you talking about the model or the session,clarify
hello I do not understand that last explanation,clarify
hey can you clarify what you meant by prepared prefix,clarify
explain exactly how TF IDF and logistic regression work together from beginning to end,detailed
give me the complete explanation of how routerMon classifies a sentence,detailed
walk me through the whole routing pipeline step by step,detailed
go deep on why word and character ngrams help this classifier,detailed
compare regex routing and TF IDF routing in detail and include the tradeoffs,detailed
hello explain exactly how the context cache works from beginning to end,detailed
hi give me a thorough explanation of the memory pipeline,detailed
hey walk me through every step from ASR to the LLM to TTS,detailed
"I changed the thread count, reverted the CPU clock, moved the audio buffer, reran the benchmark twice, and now first token time is better but total time is worse, so I want you to reason through the whole situation and tell me what each measurement suggests.",detailed
"The first run was fast, the second run had a slower prompt evaluation, the third run generated faster, and none of them throttled, but I also changed the context shape between runs and I am trying to understand which variable actually mattered.",detailed
"I have three different symptoms at once: recall is finding the right memory, the model answer is still slightly wrong, and the TTS starts later than before, so consider all three parts together instead of treating this as one isolated bug.",detailed
"I spent a while testing this because the service starts correctly, the model is warm, the prefix hash matches, and the router only takes about a millisecond, yet one path is still much slower, and I want an explanation that accounts for all of those facts.",detailed
"Here is the whole situation: the Pi is headless, PipeWire is working, the USB audio device is selected, the model is already loaded, and the first token still varies by more than a second depending on the prompt shape, so help me reason through the architecture.",detailed
"I tried the old configuration, then the new configuration, then rolled back only the thread count while leaving the context changes in place, and the result improved only halfway, which makes me think two things are interacting rather than one setting being solely responsible.",detailed
"The code passes the unit tests, but the live voice test behaves differently because Whisper sometimes changes short words, the router sees raw text now, and memory lookup adds context on some routes, so I want you to analyze how those pieces could combine.",detailed
"My concern is not just this one misroute. The classifier is fast enough, the regex rules are hard to maintain, the tests started depending on the rules, and every new wording adds another edge case, so explain the architectural implications of removing the regex layer.",detailed
"There are several observations I want you to keep together: the model file is small, prediction is around one millisecond, word ngrams capture phrases, character ngrams help spelling variation, and logistic regression gives us probabilities, so explain why that stack fits this router.",detailed
"I want the long version here because I am comparing two designs, one where the harness decides intent with hand written rules and another where a trained classifier decides intent, and I care about latency, maintainability, generalization, and failure modes.",detailed
"I tested greetings, farewells, memory recall, directives, and detailed prompts, and most of them work, but tiny replies like yup and nope are less reliable while long questions are strong, so explain what that pattern says about the training distribution.",detailed
"The install worked, audio works, the LLM is warm, and the router is fast, but I still want to understand why the semantic classifier can replace a lot of brittle Python without replacing deterministic memory extraction after the route is chosen.",detailed
the Pi is running normally today,normal
the temperature is sixty seven degrees,normal
I am testing the microphone,normal
I changed the cable yesterday,normal
I use Linux every day,normal
the benchmark finished in two seconds,normal
the service is already running,normal
I think the new layout is cleaner,normal
this version feels faster,normal
okay the Pi is running at normal temperature,normal
sure is windy outside today,normal
yeah the logs are pretty noisy today,normal
no errors showed up in the last run,normal
good morning traffic was awful today,normal
I will work on the training data next,normal
I am going to rerun it later,normal
the backpack is sitting by the desk,normal
the cable is in my bag,normal
I was reading about logistic regression last night,normal
I have one more thing to test,normal
that result is interesting,normal
the current model is small enough for the Pi,normal
the audio sounds much better now,normal
what's the difference between a process and a thread,question
what is the difference between a process and a thread,question
what's the difference between RAM and storage,question
what's the difference between TCP and UDP,question
what is a hash table,question
how does a set work,question
what does amortized mean,question
how does sorted work in python,question
what does a mutex do,question
why would I use a deque,question
how does TF IDF work,question
what does prefix caching mean,question
why did that command fail,question
how many bytes are in an integer,question
what is the purpose of virtual memory,question
what does this error mean,question
can you explain what a thread is,question
could you explain what a process is,question
is a tuple immutable,question
are sets ordered,question
does list append create a new list,question
what happens when python garbage collects an object,question
how is a dictionary lookup fast,question
why is binary search logarithmic,question
what's the difference between stack and heap memory,question
what's the difference between a class and an object,question
finally got the audio working and it sounds great,normal
I finally got the audio working and it sounds great,normal
the audio is working now,normal
it sounds great now,normal
I got it working,normal
that fixed it,normal
the tests all passed,normal
the install worked beautifully,normal
the Pi is running normally now,normal
the model loaded fine,normal
the benchmark finished,normal
I switched it back to 2.4 GHz,normal
I changed the cable and it worked,normal
the headset sounds much better,normal
the new config feels faster,normal
I think this version is better,normal
okay that makes sense,normal
sure that makes sense,normal
yeah that makes sense,normal
uh,normal
um,normal
hmm,normal
uh okay,normal
um okay,normal
hmm I see,normal
well that worked,normal
okay cool,normal
nice that worked,normal
sweet it works,normal
cool the audio is fixed,normal
that seems right,normal
explain in detail how a process differs from a thread,detailed
give me a detailed explanation of processes and threads,detailed
walk me through exactly how TF IDF and logistic regression work together,detailed
explain step by step how a hash table handles collisions,detailed
give me the full reasoning behind how prefix caching reduces prompt evaluation,detailed
I want a deep explanation of python garbage collection and reference counting,detailed
break down every step of how a request moves through ASR routing the LLM and TTS,detailed
compare processes and threads in detail including memory isolation scheduling and failure behavior,detailed
explain the differences between TCP and UDP in depth with examples and tradeoffs,detailed
walk me through the entire lifecycle of a python object from allocation to garbage collection,detailed
the first run was fast the second run had slower prompt evaluation and the third generated faster but I changed the context shape between runs too so I want to understand which variable actually caused the difference,detailed
I changed the thread count the prompt shape and the context size between several runs and the timings moved in different directions so help me separate which change likely affected load time prompt evaluation and generation,detailed
the model is warm the prefix hash matches and first token is still slower on some turns while generation speed stays stable and I want to reason through what parts of the pipeline could explain that,detailed
I have three possible causes for this bug the audio device changed the pipewire route changed and the service restarted at the same time so walk through how you would isolate which one actually caused the failure,detailed
the recall result is correct but sometimes the fresh snapshot path is used and sometimes the prepared prefix path is used and I want a detailed explanation of why those shapes differ and what that means for latency,detailed
explain this thoroughly,detailed
I want all the details,detailed
walk through this carefully from beginning to end,detailed
give me a detailed comparison of lists tuples sets and dictionaries,detailed
explain in depth why context shape can affect prompt evaluation time,detailed
walk me through how FTS5 tokenizes ranks and retrieves text,detailed
give me a thorough explanation of how logistic regression turns TF IDF features into class probabilities,detailed
explain every major tradeoff between regex routing and a trained text classifier,detailed
I did not,negative
I didn't,negative
I haven't,negative
I can't,negative
incorrect,negative
I did,affirmative
I have,affirmative
I can,affirmative
the service restarted fine,normal
the service restarted successfully,normal
the service restarted without errors,normal
the tests ran successfully,normal
the benchmark completed normally,normal
the model loaded correctly,normal
restart the service again,directive
rerun the benchmark,directive
not this time,negative
not today,negative
not right now,negative
not for now,negative
maybe not,negative
not Tuesday Wednesday,memory_store
not the USB controller the power board,memory_store
actually not 2.6 GHz I switched it to 2.4 GHz,memory_store
can you tell me how a supercharger works?,question
can you tell me how an alternator works?,question
can you tell me what a turbocharger does?,question
"hey nancy, can you tell me how a supercharger works?",question
"hey nancee, can you tell me how an alternator works?",question
"hey, can you tell me what a fuel injector does?",question
"hey nancy, how are you?",greeting
"hey nancee, what's up?",greeting
"hey, how are things going?",greeting
can you tell me how a supercharger works step by step please?,detailed
walk me through how a turbocharger works step by step,detailed
explain in detail how a supercharger works,detailed
"I've been working on my car all weekend. I replaced the plugs, cleaned the throttle body, checked the fuel pressure, and I'm still getting a rough idle when the engine is warm.",detailed
"A little about me. I grew up in Utah, I've worked with Linux for years, I mostly enjoy backend engineering, and lately I've been spending most of my free time learning about local AI.",detailed
"My dog has been acting strange lately. He's eating normally, still wants to play, sleeps through the night, but every afternoon he starts pacing around the kitchen and whining near the door.",detailed
"I changed several things on the Pi yesterday. I increased the thread count, changed the audio buffer, updated the model settings, and moved some initialization work around, so now I'm trying to figure out what actually caused the slowdown.",detailed
"I've been getting back into chess lately. I play rapid more seriously than blitz, I spend a lot of time on puzzles, and I usually prefer aggressive positions where I can keep the initiative instead of defending passively.",detailed
"Work has been strange lately. I finished one large project, started learning a different system, had several meetings about the next release, and now I'm trying to decide which technical area I should spend the most time improving.",detailed
"I've been rebuilding my home server setup. I moved a few services into containers, changed the storage layout, replaced some old scripts, and added monitoring because I want the whole system to be easier to understand and maintain.",detailed
"My weekend ended up being packed. I worked on a programming project Saturday morning, fixed a problem with my computer that afternoon, visited family that evening, and spent most of Sunday testing the changes I made.",detailed
I've used Linux for a long time and I really enjoy understanding how the pieces fit together. I like working from the operating system upward instead of only learning applications because I want to know what the machine is actually doing.,detailed
"I've been experimenting with local language models on small hardware. I care about response latency, memory use, prompt size, and keeping as much processing on the device as possible instead of depending on a cloud service.",detailed
"My car has been running pretty well overall. I changed the oil recently, replaced an old belt, checked the brakes, and noticed a small vibration at highway speed that I haven't tracked down yet.",detailed
"A little about my music taste. I listen to a lot of punk, emo, post-hardcore, and alternative music. I still go back to albums I listened to years ago, but I also like finding newer bands with a similar sound.",detailed
"I spent most of yesterday troubleshooting an audio problem. The microphone itself sounded fine, Bluetooth was working, and the speakers were working, but the routing between devices kept changing depending on which output was selected.",detailed
"I've been trying to simplify this project before I show it to people. The core functionality works, the installation process works, and the hardware is stable, so now I'm mostly fixing awkward behavior and removing things that make the demonstration confusing.",detailed
"My programming style is a little unusual. I like understanding the lower-level pieces first, I often experiment before following the conventional solution, and sometimes that means I spend extra time rediscovering why the standard approach exists.",detailed
"I've been testing the assistant with normal conversation instead of scripted commands. I talk about music, computers, cars, and random things from my life because I want to see whether the routing still makes sense when somebody speaks naturally.",detailed
"The computer was behaving differently this morning. Startup was normal, memory usage looked fine, temperatures were good, and nothing was throttling, but the first model response was noticeably slower than it had been the night before.",detailed
"I've changed my setup quite a bit over the last few months. I replaced some hardware, switched a few software components, simplified the audio stack, and spent a lot of time tuning the model so it feels responsive on limited hardware.",detailed
"I spent several hours debugging this yesterday. The first fix solved one problem, the second change exposed another one, the unit tests still passed, and eventually I realized the failure was coming from an assumption in a completely different part of the system.",detailed
"A bit about what I'm trying to build. I want the assistant to feel conversational, remember useful things from earlier turns, respond quickly on small hardware, and avoid depending on a remote service for the basic interaction loop.",detailed
My favorite band is Thursday and I still listen to them.,normal
I use Linux on my desktop and Windows at work.,normal
I replaced my brakes yesterday and the car is running fine.,normal
I went to the store this morning. I bought coffee.,normal
Work was quiet today. Nothing unusual happened.,normal
I played chess for about an hour last night.,normal
My desktop computer uses an AMD graphics card.,normal
I listened to some old music while I was working.,normal
I changed the audio volume and it sounds better now.,normal
I finished the installation this morning and everything worked.,normal
